lat,lon,fid,Basin_ID,FlowAcc,FlowAccCellCount_FlowAccCell_count,OutflPoints_InlandSink,FlowDir,InflowToInlandSink
71.25,-179.75,1,4826,1,1,FALSE,0,FALSE
70.75,-179.75,2,5179,1,1,FALSE,0,FALSE
68.75,-179.75,3,6984,1,1,FALSE,0,FALSE
68.25,-179.75,4,6985,1,2,FALSE,128,FALSE
67.75,-179.75,5,7537,1,13,FALSE,1,FALSE
67.25,-179.75,6,7537,1,13,FALSE,1,FALSE
66.75,-179.75,7,7537,1,13,FALSE,1,FALSE
66.25,-179.75,8,9805,1,1,FALSE,0,FALSE
65.75,-179.75,9,10411,1,1,FALSE,0,FALSE
65.25,-179.75,10,11000,1,1,FALSE,0,FALSE
-16.25,-179.75,11,68140,1,1,FALSE,0,FALSE
71.75,-179.25,12,4505,1,1,FALSE,0,FALSE
71.25,-179.25,13,4827,1,1,FALSE,0,FALSE
70.75,-179.25,14,5180,1,1,FALSE,0,FALSE
68.75,-179.25,15,6985,2,2,FALSE,0,FALSE
68.25,-179.25,16,7536,1,3,FALSE,1,FALSE
67.75,-179.25,17,7537,2,13,FALSE,1,FALSE
66.75,-179.25,19,7537,2,13,FALSE,1,FALSE
67.25,-179.25,18,7537,2,13,FALSE,1,FALSE
66.25,-179.25,20,9806,1,1,FALSE,0,FALSE
71.25,-178.75,21,4828,1,1,FALSE,0,FALSE
70.75,-178.75,22,5181,1,1,FALSE,0,FALSE
68.75,-178.75,23,6986,1,1,FALSE,0,FALSE
68.25,-178.75,24,7536,2,3,FALSE,1,FALSE
67.25,-178.75,26,7537,7,13,FALSE,64,FALSE
66.75,-178.75,27,7537,3,13,FALSE,64,FALSE
67.75,-178.75,25,7537,10,13,FALSE,1,FALSE
66.25,-178.75,28,9807,5,5,FALSE,0,FALSE
65.75,-178.75,29,10413,2,2,FALSE,0,FALSE
-20.75,-178.75,31,68000,1,1,,0,FALSE
-18.25,-178.75,30,68963,1,1,FALSE,0,FALSE
71.25,-178.25,32,4829,1,1,FALSE,0,FALSE
70.75,-178.25,33,5182,1,1,FALSE,0,FALSE
68.25,-178.25,34,7536,3,3,FALSE,0,FALSE
67.75,-178.25,35,7537,11,13,FALSE,1,FALSE
67.25,-178.25,36,7537,1,13,FALSE,16,FALSE
66.25,-178.25,38,9807,3,5,FALSE,16,FALSE
66.75,-178.25,37,9807,1,5,FALSE,8,FALSE
65.75,-178.25,39,10413,1,2,FALSE,16,FALSE
65.25,-178.25,40,11002,1,1,,0,FALSE
-14.25,-178.25,41,68333,1,1,FALSE,0,FALSE
71.25,-177.75,42,4830,1,1,FALSE,0,FALSE
67.75,-177.75,44,7537,12,13,FALSE,64,FALSE
68.25,-177.75,43,7537,13,13,FALSE,0,FALSE
67.25,-177.75,45,8096,2,6,FALSE,1,FALSE
66.75,-177.75,46,8096,1,6,FALSE,64,FALSE
66.25,-177.75,47,9807,2,5,FALSE,16,FALSE
65.25,-177.75,49,11003,2,2,FALSE,0,FALSE
65.75,-177.75,48,11003,1,2,FALSE,4,FALSE
51.75,-177.75,50,23885,1,1,FALSE,0,FALSE
-29.25,-177.75,51,67586,1,1,,0,FALSE
68.25,-177.25,52,7538,1,1,FALSE,0,FALSE
67.25,-177.25,54,8096,3,6,FALSE,128,FALSE
67.75,-177.25,53,8096,1,6,FALSE,1,FALSE
